stimulus_index_0based,semantic_20class_1based,semantic_4class_0based,optical_flow_score,fast_label,dominant_color_group,object_count,number_class_0based,face,human
0,17,3,0.7449069023132324,1,Warm Vibrant,20,2,1,1
1,11,2,0.1942480504512787,0,Green Nature,10,2,0,0
2,11,2,0.3783600330352783,0,Green Nature,11,2,0,0
3,7,1,1.6431400775909424,1,Neutral Light,1,0,0,0
4,17,3,0.44264650344848633,0,Cool Tones,3,1,0,0
5,4,0,0.21813203394412994,0,Earth & Dark,3,1,0,0
6,10,1,0.17832306027412415,0,Neutral Light,2,1,1,1
7,20,3,0.5220643877983093,0,Earth & Dark,3,1,0,1
8,13,2,0.7187850475311279,1,Green Nature,1,0,1,1
9,17,3,1.0973337888717651,1,Cool Tones,2,1,0,0
10,8,1,0.5993562936782837,0,Cool Tones,1,0,0,0
11,10,1,0.4016346037387848,0,Neutral Light,1,0,1,1
12,19,3,4.560381889343262,1,Neutral Light,2,1,1,1
13,13,2,1.3671125173568726,1,Warm Vibrant,3,1,0,0
14,3,0,1.0314942598342896,1,Neutral Light,1,0,1,1
15,13,2,0.678794801235199,1,Earth & Dark,1,0,1,1
16,6,1,0.1994011104106903,0,Earth & Dark,2,1,1,1
17,6,1,0.12942558526992798,0,Cool Tones,4,1,0,1
18,10,1,1.9667912721633911,1,Neutral Light,8,2,0,0
19,16,3,0.1041213870048523,0,Warm Vibrant,1,0,0,1
20,6,1,0.3984192907810211,0,Earth & Dark,3,1,0,0
21,1,0,0.20826537907123566,0,Neutral Light,3,1,0,1
22,11,2,0.49001944065093994,0,Earth & Dark,8,2,0,1
23,19,3,2.9414944648742676,1,Warm Vibrant,1,0,1,1
24,7,1,0.5141703486442566,0,Cool Tones,10,2,0,0
25,5,0,0.42015406489372253,0,Earth & Dark,1,0,0,1
26,16,3,0.49362415075302124,0,Earth & Dark,1,0,1,1
27,4,0,2.11515736579895,1,Green Nature,0,0,0,0
28,9,1,0.48310306668281555,0,Earth & Dark,1,0,0,0
29,20,3,1.2073599100112915,1,Neutral Light,1,0,1,1
30,8,1,0.22905437648296356,0,Earth & Dark,1,0,1,1
31,18,3,1.1639524698257446,1,Neutral Light,1,0,1,1
32,12,2,0.28677117824554443,0,Cool Tones,1,0,1,1
33,8,1,0.8448522686958313,1,Green Nature,1,0,1,1
34,11,2,0.008862737566232681,0,Neutral Light,100,2,1,1
35,6,1,0.8762697577476501,1,Green Nature,1,0,1,1
36,2,0,0.6948806643486023,1,Cool Tones,2,1,0,0
37,19,3,2.0964739322662354,1,Earth & Dark,3,1,0,0
38,1,0,1.603632926940918,1,Green Nature,3,1,1,1
39,9,1,0.7185546159744263,1,Earth & Dark,1,0,0,0
40,6,1,1.8595569133758545,1,Earth & Dark,2,1,1,1
41,18,3,1.1229220628738403,1,Cool Tones,1,0,0,0
42,7,1,0.8956819176673889,1,Neutral Light,1,0,1,1
43,12,2,2.864816904067993,1,Warm Vibrant,2,1,1,1
44,9,1,0.8469279408454895,1,Neutral Light,100,2,0,0
45,7,1,0.14634640514850616,0,Earth & Dark,1,0,0,1
46,15,2,0.16381296515464783,0,Earth & Dark,1,0,0,0
47,19,3,0.9363546967506409,1,Green Nature,1,0,0,0
48,17,3,0.1789453625679016,0,Warm Vibrant,3,1,1,1
49,8,1,0.2039993405342102,0,Cool Tones,60,2,1,1
50,13,2,0.4346575140953064,0,Earth & Dark,20,2,1,1
51,18,3,1.7848613262176514,1,Cool Tones,1,0,0,0
