task,model,feature,contrast,n_subjects,difference_pp,ci95_low,ci95_high,t,df,p_uncorrected,p_holm,family,family_size
20-c,GCN_LSTM,raw,watch-minus-recall,20,-0.033333333333333125,-1.0530644927550474,0.9863978260883811,-0.06841751165065885,19,0.9461681807883411,1.0,content,84
20-c,conformer,raw,watch-minus-recall,20,1.3322676295501878e-16,-0.8347580509899333,0.8347580509899335,3.3404507955942397e-16,19,0.9999999999999998,1.0,content,84
20-c,deepnet,raw,watch-minus-recall,20,1.3,0.24083496134623217,2.359165038653768,2.5689398454740644,19,0.018787957514210495,1.0,content,84
20-c,eegnet,raw,watch-minus-recall,20,0.8333333333333336,-0.3069011939066154,1.9735678605732825,1.5296736507610091,19,0.14257657503823237,1.0,content,84
20-c,glfnet,raw,watch-minus-recall,20,2.400000000000001,1.1299859543319462,3.6700140456680552,3.95527730399036,19,0.0008486044193805205,0.06788835355044165,content,84
20-c,glfnet_mlp,de,watch-minus-recall,20,1.366666666666667,0.2978704678948154,2.4354628654385184,2.676343919428457,19,0.014931243489941128,1.0,content,84
20-c,glfnet_mlp,psd,watch-minus-recall,20,1.0,-0.2784581136537072,2.2784581136537074,1.6371471478456234,19,0.11805586049001156,1.0,content,84
20-c,mlpnet,de,watch-minus-recall,20,0.8666666666666668,-0.056131391406200715,1.7894647247395343,1.9657108774972354,19,0.06411928048313179,1.0,content,84
20-c,mlpnet,psd,watch-minus-recall,20,0.6666666666666666,-0.4875247391135279,1.8208580724468613,1.2089410496539779,19,0.24151557563978118,1.0,content,84
20-c,shallownet,raw,watch-minus-recall,20,1.1,0.017864174850047654,2.1821358251499525,2.127576230580902,19,0.04668681033178346,1.0,content,84
20-c,svm,raw,watch-minus-recall,20,0.3999999999999999,-0.47900598671600636,1.2790059867160062,0.9524504206065152,19,0.35282917557757476,1.0,content,84
20-c,tsconv,raw,watch-minus-recall,20,1.2,0.32566961020361906,2.0743303897963807,2.8726313240408325,19,0.009746950469955266,0.731021285246645,content,84
4-c,GCN_LSTM,raw,watch-minus-recall,20,-0.3666666666666677,-1.9101227905567426,1.176789457223407,-0.4972231742803264,19,0.6247365667295175,1.0,content,84
4-c,conformer,raw,watch-minus-recall,20,1.333333333333333,-0.6164803544852584,3.2831470211519242,1.431264308300753,19,0.16859825406011464,1.0,content,84
4-c,deepnet,raw,watch-minus-recall,20,4.3999999999999995,2.645488883623507,6.154511116376492,5.248929889037062,19,4.5732420840274225e-05,0.0037957909297427605,content,84
4-c,eegnet,raw,watch-minus-recall,20,3.4333333333333336,1.375426414451979,5.491240252214688,3.491921421487125,19,0.0024396599598225668,0.18785381690633765,content,84
4-c,glfnet,raw,watch-minus-recall,20,5.866666666666667,4.22313202265133,7.510201310682004,7.471138194281892,19,4.5580014528937254e-07,3.8287212204307296e-05,content,84
4-c,glfnet_mlp,de,watch-minus-recall,20,2.1333333333333337,0.9720609322581004,3.294605734408567,3.8450220453042134,19,0.0010916083471431016,0.08623705942430503,content,84
4-c,glfnet_mlp,psd,watch-minus-recall,20,1.8000000000000007,-0.3807804452079524,3.980780445207954,1.7275665261092443,19,0.10028637656813778,1.0,content,84
4-c,mlpnet,de,watch-minus-recall,20,1.8666666666666658,0.08261722563579466,3.650716107697537,2.1899495300073446,19,0.04120698497248798,1.0,content,84
4-c,mlpnet,psd,watch-minus-recall,20,1.8666666666666667,-0.15690644381480157,3.890239777148135,1.9307324329714173,19,0.06857699662739827,1.0,content,84
4-c,shallownet,raw,watch-minus-recall,20,4.3,2.0308490385738756,6.569150961426124,3.9662426991191344,19,0.000827612371417554,0.06703660208482187,content,84
4-c,svm,raw,watch-minus-recall,20,4.366666666666666,2.1133769578561057,6.619956375477226,4.0560866785924965,19,0.0006740641054544971,0.05527325664726876,content,84
4-c,tsconv,raw,watch-minus-recall,20,2.3999999999999995,0.5655421637097293,4.23445783629027,2.7382791968324036,19,0.013062539637719549,0.9666279331912466,content,84
color,GCN_LSTM,raw,watch-minus-recall,20,0.7000000000000008,-0.8988940106513945,2.298894010651396,0.9163314318057216,19,0.37097789050879215,1.0,content,84
color,conformer,raw,watch-minus-recall,20,0.2999999999999995,-1.5788193071517416,2.1788193071517408,0.3342030891061976,19,0.7418870353316176,1.0,content,84
color,deepnet,raw,watch-minus-recall,20,0.7666666666666672,-0.9550497129414989,2.488383046274833,0.9320070332440746,19,0.36302566515631607,1.0,content,84
color,eegnet,raw,watch-minus-recall,20,1.2666666666666662,-0.9830388491068849,3.516372182440217,1.1784492608753172,19,0.25316635278340094,1.0,content,84
color,glfnet,raw,watch-minus-recall,20,0.9000000000000001,-1.3482816333565928,3.148281633356593,0.8378495029357677,19,0.4125313809874195,1.0,content,84
color,glfnet_mlp,de,watch-minus-recall,20,0.5666666666666664,-1.0379851083796683,2.171318441713001,0.7391304347826084,19,0.46886153236666017,1.0,content,84
color,glfnet_mlp,psd,watch-minus-recall,20,0.9666666666666668,-0.16273188770944236,2.096065221042776,1.7914460560343595,19,0.08916507569501379,1.0,content,84
