channel,x,y,perception,recall
FP1,-0.3,0.9,54.8,54.333333333333336
FPZ,0.0,0.9,54.36666666666667,55.2
FP2,0.3,0.9,54.7,55.63333333333333
AF3,-0.2,0.7,55.3,55.2
AF4,0.2,0.7,54.833333333333336,56.3
F7,-0.6,0.5,54.93333333333333,55.766666666666666
F5,-0.4,0.5,54.666666666666664,55.2
F3,-0.2,0.5,55.63333333333333,55.4
F1,-0.1,0.5,56.1,55.56666666666667
FZ,0.0,0.5,55.266666666666666,55.93333333333333
F2,0.1,0.5,55.56666666666667,55.833333333333336
F4,0.2,0.5,55.3,55.56666666666667
F6,0.4,0.5,55.06666666666667,55.86666666666667
F8,0.6,0.5,54.8,55.96666666666667
FT7,-0.7,0.3,54.93333333333333,56.03333333333333
FC5,-0.4,0.3,55.06666666666667,56.0
FC3,-0.2,0.3,55.1,54.833333333333336
FC1,-0.1,0.3,55.53333333333333,55.733333333333334
FCZ,0.0,0.3,55.3,55.56666666666667
FC2,0.1,0.3,55.7,55.56666666666667
FC4,0.2,0.3,55.166666666666664,55.63333333333333
FC6,0.4,0.3,55.13333333333333,55.6
FT8,0.7,0.3,54.7,55.2
T7,-0.8,0.1,55.03333333333333,55.7
T8,0.8,0.1,55.333333333333336,56.233333333333334
C5,-0.4,0.1,55.03333333333333,55.766666666666666
C3,-0.2,0.1,55.06666666666667,55.4
C1,-0.1,0.1,55.766666666666666,55.56666666666667
CZ,0.0,0.1,54.833333333333336,55.13333333333333
C2,0.1,0.1,55.233333333333334,55.166666666666664
C4,0.2,0.1,54.93333333333333,55.63333333333333
C6,0.4,0.1,54.96666666666667,55.36666666666667
TP7,-0.7,-0.1,55.53333333333333,56.733333333333334
TP8,0.7,-0.1,55.53333333333333,55.96666666666667
CP5,-0.4,-0.1,55.166666666666664,55.9
CP3,-0.2,-0.1,56.13333333333333,55.2
CP1,-0.1,-0.1,55.833333333333336,55.7
CPZ,0.0,-0.1,55.233333333333334,56.0
CP2,0.1,-0.1,54.666666666666664,55.666666666666664
CP4,0.2,-0.1,55.733333333333334,56.233333333333334
CP6,0.4,-0.1,55.03333333333333,56.166666666666664
P7,-0.6,-0.3,56.13333333333333,56.4
P5,-0.4,-0.3,55.333333333333336,56.7
P3,-0.2,-0.3,55.86666666666667,55.7
P1,-0.1,-0.3,55.43333333333333,55.733333333333334
PZ,0.0,-0.3,55.766666666666666,55.86666666666667
P2,0.1,-0.3,55.166666666666664,56.13333333333333
P4,0.2,-0.3,55.1,55.53333333333333
P6,0.4,-0.3,54.9,54.96666666666667
P8,0.6,-0.3,54.833333333333336,55.8
PO7,-0.5,-0.5,55.7,56.0
PO5,-0.3,-0.5,55.4,55.96666666666667
PO3,-0.2,-0.5,55.666666666666664,56.166666666666664
POZ,0.0,-0.5,55.333333333333336,55.96666666666667
PO4,0.2,-0.5,55.4,56.266666666666666
PO6,0.3,-0.5,55.333333333333336,56.2
PO8,0.5,-0.5,55.833333333333336,56.43333333333333
CB1,-0.3,-0.8,55.36666666666667,56.8
CB2,0.3,-0.8,56.3,56.166666666666664
O1,-0.2,-0.7,55.3,55.5
OZ,0.0,-0.7,56.03333333333333,55.666666666666664
O2,0.2,-0.7,55.36666666666667,56.53333333333333
