task,model,feature,condition,subject_id,sessions,accuracy_percent
20-c,GCN_LSTM,raw,recall,sub-001,3,10.666666666666666
20-c,GCN_LSTM,raw,recall,sub-002,3,12.0
20-c,GCN_LSTM,raw,recall,sub-003,3,12.0
20-c,GCN_LSTM,raw,recall,sub-004,3,12.0
20-c,GCN_LSTM,raw,recall,sub-005,3,11.333333333333334
20-c,GCN_LSTM,raw,recall,sub-006,3,10.0
20-c,GCN_LSTM,raw,recall,sub-007,3,7.333333333333333
20-c,GCN_LSTM,raw,recall,sub-008,3,11.333333333333334
20-c,GCN_LSTM,raw,recall,sub-009,3,12.0
20-c,GCN_LSTM,raw,recall,sub-010,3,12.666666666666666
20-c,GCN_LSTM,raw,recall,sub-011,3,10.666666666666666
20-c,GCN_LSTM,raw,recall,sub-012,3,12.0
20-c,GCN_LSTM,raw,recall,sub-013,3,8.666666666666666
20-c,GCN_LSTM,raw,recall,sub-014,3,10.666666666666666
20-c,GCN_LSTM,raw,recall,sub-015,3,10.0
20-c,GCN_LSTM,raw,recall,sub-016,3,10.0
20-c,GCN_LSTM,raw,recall,sub-017,3,8.666666666666666
20-c,GCN_LSTM,raw,recall,sub-018,3,10.0
20-c,GCN_LSTM,raw,recall,sub-019,3,12.666666666666666
20-c,GCN_LSTM,raw,recall,sub-020,3,10.0
20-c,GCN_LSTM,raw,watch,sub-001,3,12.666666666666666
20-c,GCN_LSTM,raw,watch,sub-002,3,8.0
20-c,GCN_LSTM,raw,watch,sub-003,3,12.666666666666666
20-c,GCN_LSTM,raw,watch,sub-004,3,10.0
20-c,GCN_LSTM,raw,watch,sub-005,3,11.333333333333334
20-c,GCN_LSTM,raw,watch,sub-006,3,11.333333333333334
20-c,GCN_LSTM,raw,watch,sub-007,3,10.666666666666666
20-c,GCN_LSTM,raw,watch,sub-008,3,6.666666666666667
20-c,GCN_LSTM,raw,watch,sub-009,3,11.333333333333334
20-c,GCN_LSTM,raw,watch,sub-010,3,11.333333333333334
20-c,GCN_LSTM,raw,watch,sub-011,3,12.0
20-c,GCN_LSTM,raw,watch,sub-012,3,14.0
20-c,GCN_LSTM,raw,watch,sub-013,3,10.666666666666666
20-c,GCN_LSTM,raw,watch,sub-014,3,10.666666666666666
20-c,GCN_LSTM,raw,watch,sub-015,3,8.0
20-c,GCN_LSTM,raw,watch,sub-016,3,11.333333333333334
20-c,GCN_LSTM,raw,watch,sub-017,3,10.666666666666666
20-c,GCN_LSTM,raw,watch,sub-018,3,9.333333333333334
20-c,GCN_LSTM,raw,watch,sub-019,3,10.0
20-c,GCN_LSTM,raw,watch,sub-020,3,11.333333333333334
20-c,conformer,raw,recall,sub-001,3,12.0
20-c,conformer,raw,recall,sub-002,3,10.666666666666666
20-c,conformer,raw,recall,sub-003,3,12.0
