subject_id,recording_id,source_index,task,model,feature,condition,score_type,accuracy_percent,source_file,source_key
sub-001,recording-01,0,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-001,recording-02,1,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-001,recording-03,2,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-002,recording-01,3,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-002,recording-02,4,20-c,shallownet,raw,watch,best_validation,4.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-002,recording-03,5,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-003,recording-01,6,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-003,recording-02,7,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-003,recording-03,8,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-004,recording-01,9,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-004,recording-02,10,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-004,recording-03,11,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-005,recording-01,12,20-c,shallownet,raw,watch,best_validation,6.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-005,recording-02,13,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-005,recording-03,14,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-006,recording-01,15,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-006,recording-02,16,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-006,recording-03,17,20-c,shallownet,raw,watch,best_validation,18.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-007,recording-01,18,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-007,recording-02,19,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-007,recording-03,20,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-008,recording-01,21,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-008,recording-02,22,20-c,shallownet,raw,watch,best_validation,6.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-008,recording-03,23,20-c,shallownet,raw,watch,best_validation,6.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-009,recording-01,24,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-009,recording-02,25,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-009,recording-03,26,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-010,recording-01,27,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-010,recording-02,28,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-010,recording-03,29,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-011,recording-01,30,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-011,recording-02,31,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-011,recording-03,32,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-012,recording-01,33,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-012,recording-02,34,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-012,recording-03,35,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-013,recording-01,36,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-013,recording-02,37,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-013,recording-03,38,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-014,recording-01,39,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-014,recording-02,40,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-014,recording-03,41,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-015,recording-01,42,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-015,recording-02,43,20-c,shallownet,raw,watch,best_validation,4.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-015,recording-03,44,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-016,recording-01,45,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-016,recording-02,46,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-016,recording-03,47,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-017,recording-01,48,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-017,recording-02,49,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-017,recording-03,50,20-c,shallownet,raw,watch,best_validation,18.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-018,recording-01,51,20-c,shallownet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-018,recording-02,52,20-c,shallownet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-018,recording-03,53,20-c,shallownet,raw,watch,best_validation,4.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-019,recording-01,54,20-c,shallownet,raw,watch,best_validation,16.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-019,recording-02,55,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-019,recording-03,56,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-020,recording-01,57,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-020,recording-02,58,20-c,shallownet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-020,recording-03,59,20-c,shallownet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/shallownet/raw
sub-001,recording-01,0,20-c,deepnet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-001,recording-02,1,20-c,deepnet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
