task,model,feature,condition,n_subjects,mean,sd
20-c,GCN_LSTM,raw,recall,20,10.733333333333333,1.4331089175602263
20-c,GCN_LSTM,raw,watch,20,10.7,1.7232500234367774
20-c,conformer,raw,recall,20,10.2,1.69070385702634
20-c,conformer,raw,watch,20,10.2,1.4844220329575493
20-c,deepnet,raw,recall,20,9.8,2.131358735285905
20-c,deepnet,raw,watch,20,11.1,1.2287967775298878
20-c,eegnet,raw,recall,20,9.633333333333333,1.581693518341942
20-c,eegnet,raw,watch,20,10.466666666666665,1.4199909397618875
20-c,glfnet,raw,recall,20,9.166666666666666,1.4489358870144537
20-c,glfnet,raw,watch,20,11.566666666666668,2.302045873712851
20-c,glfnet_mlp,de,recall,20,9.9,1.4713640884233086
20-c,glfnet_mlp,de,watch,20,11.266666666666667,1.6599866130651646
20-c,glfnet_mlp,psd,recall,20,7.8,1.5156107756913755
20-c,glfnet_mlp,psd,watch,20,8.8,1.893046679560267
20-c,mlpnet,de,recall,20,10.0,1.1647854507156372
20-c,mlpnet,de,watch,20,10.866666666666669,1.7317131429185162
20-c,mlpnet,psd,recall,20,7.466666666666667,1.6837718727007662
20-c,mlpnet,psd,watch,20,8.133333333333335,1.5233081882066117
20-c,shallownet,raw,recall,20,9.4,1.6740188712456467
20-c,shallownet,raw,watch,20,10.499999999999998,1.6736694986296652
20-c,svm,raw,recall,20,3.8333333333333335,1.4162796168893963
20-c,svm,raw,watch,20,4.2333333333333325,1.6652625664455074
20-c,tsconv,raw,recall,20,9.23333333333333,1.5787329289080891
20-c,tsconv,raw,watch,20,10.433333333333334,1.9856208244474907
4-c,GCN_LSTM,raw,recall,20,36.53333333333334,2.866217835120452
4-c,GCN_LSTM,raw,watch,20,36.16666666666666,2.3283154063783855
4-c,conformer,raw,recall,20,35.83333333333333,2.308134610484613
4-c,conformer,raw,watch,20,37.16666666666667,3.480102169636851
4-c,deepnet,raw,recall,20,34.466666666666676,2.8126697479638656
4-c,deepnet,raw,watch,20,38.86666666666666,3.386246693120078
4-c,eegnet,raw,recall,20,34.099999999999994,3.303551163883747
